prompt,score
Vessel caught falsifying fish.,4.655432709455491
Vessel caught misreporting species.,4.419562244415284
Vessel caught misreporting fish.,3.8570395082235343
Vessel caught falsifying fish.,4.5760951435565955
Vessel caught bypassing fishing.,4.231103035807609
Vessel caught falsifying fishing.,4.703790884017945
Vessel caught misreporting fish.,3.777135002017021
Vessel caught fake fish.,5.618749572634697
Vessel caught misreporting species.,4.419562244415284
Vessel caught misreporting fish.,3.8171766459941865
Vessel caught underreporting fishing.,4.557756702899932
Vessel caught falsifying salmon.,1.679853081703186
Vessel caught underreporting salmon.,5.051568017029203
Vessel caught evading fish.,4.922047967910768
Vessel caught reporting fish.,4.0221613907814024
Vessel caught underreporting salmon.,5.209496493362822
Vessel caught falsified fishing.,4.653558544516564
Vessel caught underreporting fish.,4.583384196758272
Vessel caught misreporting fishing.,3.832304581105709
Vessel caught underreporting fish.,4.583384196758272
Vessel caught misreporting tuna.,4.469246095716953
Vessel caught falsifying fishing.,4.703790884017945
Vessel caught unreported species.,5.014045446515084
Vessel caught misreporting fishing.,3.872361051440239
Vessel caught falsifying fish.,4.170953168272972
Vessel caught falsifying fish.,4.170953168272972
Vessel caught underreporting tuna.,4.617828121408821
Vessel caught underreporting fishing.,4.557756702899932
Vessel caught misreporting species.,4.134946976304055
Vessel caught misreporting tuna.,4.4654618421196925
Vessel caught unreported fisheries.,4.272905170619488
Vessel caught reports fishing.,4.576578044891358
Vessel caught underreporting fish.,4.623384196758272
Vessel caught evade tuna.,4.82607953876257
Vessel caught falsified fishing.,4.653558544516564
Vessel caught fake species.,4.971724706292153
Vessel caught misreporting species.,4.248873997330666
Vessel caught misreporting fish.,3.8172332575917247
Vessel caught falsifying fishing.,4.703790884017945
Vessel caught reports fishing.,4.581599318981171
Vessel caught unreported fish.,4.292604554891588
Vessel caught falsified fish.,4.459956126417965
Vessel caught falsifying species.,4.900494105219842
Vessel caught misreporting fish.,3.857049658596516
Vessel caught misreporting fish.,3.817105951011181
Vessel caught underreporting fish.,4.583384196758272
Vessel caught underreporting fish.,4.786287852525712
Vessel caught underreporting fish.,4.583384196758272
Vessel caught evading fishing.,4.113068126142025
Vessel caught falsifying fish.,4.170953168272972
Vessel caught falsifying fisheries.,4.270479995012283
Vessel caught evade sardine.,0.46358100354671483
Vessel caught falsifying fish.,4.170953168272972
Vessel caught falsifying salmon.,1.679853081703186
Vessel caught fake species.,4.834812478125096
Vessel caught falsifying fishing.,4.703790884017945
Vessel caught misreporting fish.,3.851572856009007
Vessel caught misreporting fish.,3.8516739735007293
Vessel caught reporting species.,4.3817668798565865
Vessel caught underreporting endangered.,4.906549770832063
Vessel caught underreporting species.,4.744057149291038
Vessel caught falsifying fishing.,4.285455034971237
Vessel caught fake fish.,5.4493692126870155
Vessel caught falsifying fishing.,4.285455034971237
Vessel caught misreporting tuna.,4.50674726396799
Vessel caught falsifying fishing.,4.285455034971237
Vessel caught falsifying fish.,4.170953168272972
Vessel caught falsifying fish.,4.170953168272972
Vessel caught falsifying species.,4.900494105219842
Vessel caught reports fish.,4.249570815861224
Vessel caught misreporting fish.,3.885104075074196
Vessel caught underreporting sardine.,1.5953234608098867
Vessel caught misreporting fish.,3.8516608816385274
Vessel caught misreporting salmon.,1.207487615942955
Vessel caught evading sardine.,1.5264394197613
Vessel caught underreporting fish.,4.591777341961861
Vessel caught falsifying species.,4.900494105219842
Vessel caught falsifying species.,4.903702461719513
Vessel caught underreporting fishing.,4.72403887629509
Vessel caught misreporting fishing.,3.7323618188500403
Vessel caught underreporting fisheries.,4.603794072866441
Vessel caught falsifying species.,4.900494105219842
Vessel caught misreporting species.,4.174946976304055
Vessel caught evade species.,4.6642336857318885
Vessel caught falsifying fish.,4.170953168272972
Vessel caught underreporting sardine.,1.6196416407823562
Vessel caught misreporting species.,4.174946976304055
Vessel caught underreporting fishing.,4.515779721736908
Vessel caught reports fish.,4.249430125057697
Vessel caught misreporting fishing.,3.615119924545288
Vessel caught misreporting endangered.,3.621762403845787
Vessel caught avoid fish.,4.845911702513694
Vessel caught reporting fishing.,4.7163724920153625
Vessel caught underreporting species.,4.744057149291038
Vessel caught underreporting fish.,4.505762901306153
Vessel caught reporting species.,4.381709563732147
Vessel caught avoid fishing.,4.802278379499912
Vessel caught underreported fishing.,4.421689594388008
Vessel caught misreporting tuna.,4.466136524975299
Vessel caught misreporting salmon.,1.167487615942955
